Facility Name,State,Condition,Excess Ratio,Predicted Rate,Expected Rate,Number of Readmissions,Variance,Above/Below National Flag
WHITESBURG ARH HOSPITAL,KY,READM-30-COPD-HRRP,1.152,24.1165,20.9336,30,3.1829,Above National
OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,KY,READM-30-PN-HRRP,1.0092,16.4016,16.2522,18,0.1494,Above National
OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,KY,READM-30-HF-HRRP,1.0668,21.0886,19.7679,17,1.3207,Above National
HIGHLANDS ARH REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,1.049,18.3259,17.4691,22,0.8568,Above National
HIGHLANDS ARH REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,1.1031,22.9754,20.8274,29,2.148,Above National
HIGHLANDS ARH REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,0.9749,16.7121,17.1431,12,-0.431,At/Below National
KING'S DAUGHTERS' MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0715,18.3699,17.1436,133,1.2263,Above National
KING'S DAUGHTERS' MEDICAL CENTER,KY,READM-30-HF-HRRP,0.945,20.6002,21.8,184,-1.1998,At/Below National
KING'S DAUGHTERS' MEDICAL CENTER,KY,READM-30-COPD-HRRP,0.98,20.148,20.5584,64,-0.4104,At/Below National
KING'S DAUGHTERS' MEDICAL CENTER,KY,READM-30-AMI-HRRP,1.0148,14.5348,14.3234,59,0.2114,Above National
SAINT JOSEPH HOSPITAL,KY,READM-30-PN-HRRP,1.0178,17.8746,17.5617,67,0.3129,Above National
SAINT JOSEPH HOSPITAL,KY,READM-30-HF-HRRP,1.0341,21.9373,21.2139,86,0.7234,Above National
SAINT JOSEPH HOSPITAL,KY,READM-30-COPD-HRRP,1.0575,21.3914,20.2284,13,1.163,Above National
SAINT JOSEPH HOSPITAL,KY,READM-30-AMI-HRRP,0.9037,12.5317,13.8666,21,-1.3349,At/Below National
SAINT JOSEPH LONDON,KY,READM-30-PN-HRRP,0.9679,16.4866,17.0334,39,-0.5468,At/Below National
SAINT JOSEPH LONDON,KY,READM-30-HF-HRRP,1.062,22.6533,21.3305,61,1.3228,Above National
BAPTIST HEALTH HARDIN,KY,READM-30-PN-HRRP,1.0738,17.8504,16.6237,125,1.2267,Above National
BAPTIST HEALTH HARDIN,KY,READM-30-HF-HRRP,0.9377,18.7691,20.0151,113,-1.246,At/Below National
BAPTIST HEALTH HARDIN,KY,READM-30-COPD-HRRP,1.0457,19.2567,18.4154,48,0.8413,Above National
BAPTIST HEALTH HARDIN,KY,READM-30-AMI-HRRP,0.9927,13.345,13.4429,19,-0.0979,At/Below National
THE MEDICAL CENTER (BOWLING GREEN),KY,READM-30-PN-HRRP,0.8916,15.0701,16.903,53,-1.8329,At/Below National
THE MEDICAL CENTER (BOWLING GREEN),KY,READM-30-HF-HRRP,0.9195,18.4217,20.0341,96,-1.6124,At/Below National
THE MEDICAL CENTER (BOWLING GREEN),KY,READM-30-COPD-HRRP,0.9512,18.3888,19.3314,21,-0.9426,At/Below National
THE MEDICAL CENTER (BOWLING GREEN),KY,READM-30-CABG-HRRP,0.9746,10.0834,10.3463,16,-0.2629,At/Below National
THE MEDICAL CENTER (BOWLING GREEN),KY,READM-30-AMI-HRRP,1.0016,13.4042,13.3832,49,0.021,Above National
T J SAMSON COMMUNITY HOSPITAL,KY,READM-30-PN-HRRP,1.0119,15.4662,15.2851,41,0.1811,Above National
T J SAMSON COMMUNITY HOSPITAL,KY,READM-30-HF-HRRP,1.0291,20.1476,19.5781,54,0.5695,Above National
T J SAMSON COMMUNITY HOSPITAL,KY,READM-30-COPD-HRRP,0.9686,18.4939,19.0933,23,-0.5994,At/Below National
ST CLAIRE REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0769,19.4811,18.0905,49,1.3906,Above National
ST CLAIRE REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0797,23.0446,21.3425,51,1.7021,Above National
ST CLAIRE REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0929,21.728,19.8818,17,1.8462,Above National
MEADOWVIEW REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,0.923,16.4657,17.8397,11,-1.374,At/Below National
MEADOWVIEW REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,0.9358,19.014,20.3181,17,-1.3041,At/Below National
MIDDLESBORO ARH HOSPITAL,KY,READM-30-PN-HRRP,0.9937,16.5705,16.6759,12,-0.1054,At/Below National
CHI SAINT JOSEPH FLAGET MEMORIAL HOSPITAL,KY,READM-30-PN-HRRP,1.0393,18.1603,17.4736,19,0.6867,Above National
CHI SAINT JOSEPH FLAGET MEMORIAL HOSPITAL,KY,READM-30-HF-HRRP,0.9427,19.5902,20.7816,15,-1.1914,At/Below National
MURRAY-CALLOWAY COUNTY HOSPITAL,KY,READM-30-PN-HRRP,1.074,15.5452,14.4735,38,1.0717,Above National
MURRAY-CALLOWAY COUNTY HOSPITAL,KY,READM-30-HF-HRRP,1.1531,21.5102,18.6535,37,2.8567,Above National
HAZARD ARH REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0731,20.8657,19.444,72,1.4217,Above National
HAZARD ARH REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0237,22.9868,22.4545,47,0.5323,Above National
HAZARD ARH REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.1138,23.3721,20.9844,32,2.3877,Above National
HAZARD ARH REGIONAL MEDICAL CENTER,KY,READM-30-AMI-HRRP,1.0432,15.8655,15.2079,17,0.6576,Above National
ST ELIZABETH EDGEWOOD,KY,READM-30-PN-HRRP,1.1102,18.8023,16.9354,118,1.8669,Above National
ST ELIZABETH EDGEWOOD,KY,READM-30-HIP-KNEE-HRRP,1.1109,6.3065,5.677,16,0.6295,Above National
ST ELIZABETH EDGEWOOD,KY,READM-30-HF-HRRP,0.9024,18.0694,20.0237,141,-1.9543,At/Below National
ST ELIZABETH EDGEWOOD,KY,READM-30-COPD-HRRP,1.0516,22.1153,21.03,80,1.0853,Above National
ST ELIZABETH EDGEWOOD,KY,READM-30-AMI-HRRP,1.0139,13.5593,13.3729,61,0.1864,Above National
OWENSBORO HEALTH REGIONAL HOSPITAL,KY,READM-30-PN-HRRP,1.0962,18.4201,16.8041,101,1.616,Above National
OWENSBORO HEALTH REGIONAL HOSPITAL,KY,READM-30-HF-HRRP,0.9548,19.6619,20.5937,120,-0.9318,At/Below National
OWENSBORO HEALTH REGIONAL HOSPITAL,KY,READM-30-COPD-HRRP,1.0651,19.1629,17.9909,42,1.172,Above National
OWENSBORO HEALTH REGIONAL HOSPITAL,KY,READM-30-AMI-HRRP,0.9593,13.4259,13.9951,34,-0.5692,At/Below National
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,KY,READM-30-PN-HRRP,1.009,17.8537,17.6938,89,0.1599,Above National
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,KY,READM-30-HF-HRRP,1.0786,22.1433,20.5289,129,1.6144,Above National
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,KY,READM-30-COPD-HRRP,1.0003,20.0967,20.0913,38,0.0054,Above National
JEWISH HOSPITAL & ST MARY'S HEALTHCARE,KY,READM-30-AMI-HRRP,1.0613,14.5613,13.7204,48,0.8409,Above National
MANCHESTER MEMORIAL HOSPITAL,KY,READM-30-HF-HRRP,1.0533,21.5724,20.4808,21,1.0916,Above National
PIKEVILLE MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0815,19.0514,17.6161,91,1.4353,Above National
PIKEVILLE MEDICAL CENTER,KY,READM-30-HF-HRRP,1.001,21.6075,21.586,69,0.0215,Above National
PIKEVILLE MEDICAL CENTER,KY,READM-30-COPD-HRRP,0.9651,18.7758,19.4552,28,-0.6794,At/Below National
PIKEVILLE MEDICAL CENTER,KY,READM-30-CABG-HRRP,1.0989,13.4112,12.2047,15,1.2065,Above National
PIKEVILLE MEDICAL CENTER,KY,READM-30-AMI-HRRP,1.1592,16.0531,13.8482,39,2.2049,Above National
ST ELIZABETH FLORENCE,KY,READM-30-PN-HRRP,1.134,19.226,16.9536,62,2.2724,Above National
ST ELIZABETH FLORENCE,KY,READM-30-HF-HRRP,1.0109,20.5623,20.3405,53,0.2218,Above National
ST ELIZABETH FLORENCE,KY,READM-30-COPD-HRRP,1.0389,19.5911,18.858,31,0.7331,Above National
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0071,15.9895,15.8765,55,0.113,Above National
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,0.9615,17.8712,18.5874,50,-0.7162,At/Below National
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,0.9675,18.6291,19.255,19,-0.6259,At/Below National
EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,KY,READM-30-AMI-HRRP,1.0026,10.9292,10.9006,14,0.0286,Above National
BAPTIST HEALTH RICHMOND,KY,READM-30-PN-HRRP,0.928,15.2709,16.4548,26,-1.1839,At/Below National
BAPTIST HEALTH RICHMOND,KY,READM-30-HF-HRRP,0.9374,19.4111,20.7084,23,-1.2973,At/Below National
HARLAN ARH HOSPITAL,KY,READM-30-PN-HRRP,1.1554,20.0664,17.367,49,2.6994,Above National
HARLAN ARH HOSPITAL,KY,READM-30-HF-HRRP,1.1232,23.05,20.5212,25,2.5288,Above National
HARLAN ARH HOSPITAL,KY,READM-30-COPD-HRRP,1.0425,19.9834,19.1687,21,0.8147,Above National
JENNIE STUART MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0949,16.6971,15.2498,47,1.4473,Above National
JENNIE STUART MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0648,21.2214,19.9305,28,1.2909,Above National
JENNIE STUART MEDICAL CENTER,KY,READM-30-COPD-HRRP,0.986,17.2814,17.526,23,-0.2446,At/Below National
DEACONESS HENDERSON HOSPITAL,KY,READM-30-PN-HRRP,1.0538,15.8692,15.0594,23,0.8098,Above National
DEACONESS HENDERSON HOSPITAL,KY,READM-30-HF-HRRP,1.0623,20.7782,19.56,40,1.2182,Above National
SAINT JOSEPH MOUNT STERLING,KY,READM-30-PN-HRRP,0.9577,17.496,18.2691,18,-0.7731,At/Below National
SAINT JOSEPH MOUNT STERLING,KY,READM-30-HF-HRRP,0.9875,20.653,20.9147,15,-0.2617,At/Below National
LOGAN MEMORIAL HOSPITAL,KY,READM-30-PN-HRRP,1.0155,15.5878,15.3498,11,0.238,Above National
UNIVERSITY OF KENTUCKY HOSPITAL,KY,READM-30-PN-HRRP,0.9056,17.8241,19.6815,23,-1.8574,At/Below National
UNIVERSITY OF KENTUCKY HOSPITAL,KY,READM-30-HF-HRRP,0.8892,20.2099,22.7283,35,-2.5184,At/Below National
UNIVERSITY OF KENTUCKY HOSPITAL,KY,READM-30-COPD-HRRP,0.922,20.5074,22.2434,14,-1.736,At/Below National
UNIVERSITY OF KENTUCKY HOSPITAL,KY,READM-30-AMI-HRRP,0.9193,12.8033,13.9278,12,-1.1245,At/Below National
TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,1.1657,20.5528,17.631,35,2.9218,Above National
TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0514,20.3785,19.3821,28,0.9964,Above National
TUG VALLEY ARH REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0945,20.3009,18.5475,29,1.7534,Above National
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,KY,READM-30-PN-HRRP,0.9349,14.7857,15.8161,14,-1.0304,At/Below National
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,KY,READM-30-HF-HRRP,0.9825,18.8041,19.14,14,-0.3359,At/Below National
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0384,16.014,15.4222,12,0.5918,Above National
PAINTSVILLE ARH HOSPITAL,KY,READM-30-PN-HRRP,1.0832,17.6311,16.2767,31,1.3544,Above National
PAINTSVILLE ARH HOSPITAL,KY,READM-30-HF-HRRP,1.0628,21.5546,20.2801,16,1.2745,Above National
PAINTSVILLE ARH HOSPITAL,KY,READM-30-COPD-HRRP,1.0144,19.8187,19.538,11,0.2807,Above National
HARRISON MEMORIAL HOSPITAL,KY,READM-30-PN-HRRP,0.969,12.6453,13.0495,11,-0.4042,At/Below National
BAPTIST HEALTH CORBIN,KY,READM-30-PN-HRRP,0.9094,16.9986,18.6931,46,-1.6945,At/Below National
BAPTIST HEALTH CORBIN,KY,READM-30-HF-HRRP,0.9605,22.4873,23.4113,31,-0.924,At/Below National
BAPTIST HEALTH CORBIN,KY,READM-30-COPD-HRRP,0.9211,19.1786,20.8203,11,-1.6417,At/Below National
TAYLOR REGIONAL HOSPITAL,KY,READM-30-PN-HRRP,0.9537,16.1825,16.9689,18,-0.7864,At/Below National
TAYLOR REGIONAL HOSPITAL,KY,READM-30-HF-HRRP,0.9716,19.5313,20.1028,22,-0.5715,At/Below National
"NORTON HOSPITALS, INC",KY,READM-30-PN-HRRP,0.9643,15.9746,16.5667,206,-0.5921,At/Below National
"NORTON HOSPITALS, INC",KY,READM-30-HF-HRRP,1.019,20.7937,20.4066,291,0.3871,Above National
"NORTON HOSPITALS, INC",KY,READM-30-COPD-HRRP,1.0646,19.9182,18.7103,75,1.2079,Above National
"NORTON HOSPITALS, INC",KY,READM-30-CABG-HRRP,1.0251,10.8622,10.596,22,0.2662,Above National
"NORTON HOSPITALS, INC",KY,READM-30-AMI-HRRP,1.1315,15.7308,13.9025,94,1.8283,Above National
CLARK REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0385,16.7328,16.1122,25,0.6206,Above National
CLARK REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,0.9245,19.3196,20.8979,18,-1.5783,At/Below National
CLARK REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0038,19.9415,19.8654,15,0.0761,Above National
BAPTIST HEALTH DEACONESS MADISONVILLE,KY,READM-30-PN-HRRP,0.8453,14.3825,17.014,26,-2.6315,At/Below National
BAPTIST HEALTH DEACONESS MADISONVILLE,KY,READM-30-HF-HRRP,0.9697,19.9868,20.6108,33,-0.624,At/Below National
BAPTIST HEALTH DEACONESS MADISONVILLE,KY,READM-30-COPD-HRRP,0.9762,19.4412,19.9144,16,-0.4732,At/Below National
GEORGETOWN COMMUNITY HOSPITAL,KY,READM-30-HF-HRRP,1.0299,20.8018,20.1972,15,0.6046,Above National
MERCY HEALTH - LOURDES HOSPITAL,KY,READM-30-PN-HRRP,0.9557,15.2844,15.9937,59,-0.7093,At/Below National
MERCY HEALTH - LOURDES HOSPITAL,KY,READM-30-HIP-KNEE-HRRP,1.0258,5.6725,5.5297,22,0.1428,Above National
MERCY HEALTH - LOURDES HOSPITAL,KY,READM-30-HF-HRRP,1.0072,19.8845,19.742,88,0.1425,Above National
MERCY HEALTH - LOURDES HOSPITAL,KY,READM-30-COPD-HRRP,1.0885,19.018,17.472,32,1.546,Above National
MERCY HEALTH - LOURDES HOSPITAL,KY,READM-30-AMI-HRRP,1.0585,15.3003,14.4554,32,0.8449,Above National
BAPTIST HEALTH LEXINGTON,KY,READM-30-PN-HRRP,0.9507,15.0872,15.8699,106,-0.7827,At/Below National
BAPTIST HEALTH LEXINGTON,KY,READM-30-HF-HRRP,0.8697,17.373,19.9762,110,-2.6032,At/Below National
BAPTIST HEALTH LEXINGTON,KY,READM-30-COPD-HRRP,0.9873,18.2573,18.4927,35,-0.2354,At/Below National
BAPTIST HEALTH LEXINGTON,KY,READM-30-CABG-HRRP,1.2197,12.5353,10.277,32,2.2583,Above National
BAPTIST HEALTH LEXINGTON,KY,READM-30-AMI-HRRP,1.0324,13.8156,13.3823,38,0.4333,Above National
BAPTIST HEALTH PADUCAH,KY,READM-30-PN-HRRP,0.9891,15.838,16.013,68,-0.175,At/Below National
BAPTIST HEALTH PADUCAH,KY,READM-30-HF-HRRP,0.9306,18.6385,20.0275,82,-1.389,At/Below National
BAPTIST HEALTH PADUCAH,KY,READM-30-COPD-HRRP,0.9993,19.6767,19.6896,34,-0.0129,At/Below National
BAPTIST HEALTH PADUCAH,KY,READM-30-AMI-HRRP,0.8873,10.4718,11.802,17,-1.3302,At/Below National
MONROE COUNTY MEDICAL CENTER,KY,READM-30-PN-HRRP,1.1542,16.8562,14.6042,32,2.252,Above National
MONROE COUNTY MEDICAL CENTER,KY,READM-30-HF-HRRP,1.136,17.7705,15.6434,23,2.1271,Above National
MONROE COUNTY MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0894,16.4549,15.1039,16,1.351,Above National
JACKSON PURCHASE MEDICAL CENTER,KY,READM-30-PN-HRRP,0.9635,15.9058,16.5078,32,-0.602,At/Below National
JACKSON PURCHASE MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0434,20.008,19.1761,36,0.8319,Above National
JACKSON PURCHASE MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0481,18.6052,17.7513,20,0.8539,Above National
TRISTAR GREENVIEW REGIONAL HOSPITAL,KY,READM-30-PN-HRRP,0.9885,14.7705,14.9423,40,-0.1718,At/Below National
TRISTAR GREENVIEW REGIONAL HOSPITAL,KY,READM-30-HF-HRRP,1.0407,19.4703,18.7092,39,0.7611,Above National
TRISTAR GREENVIEW REGIONAL HOSPITAL,KY,READM-30-COPD-HRRP,1.0181,17.0981,16.7948,17,0.3033,Above National
TRISTAR GREENVIEW REGIONAL HOSPITAL,KY,READM-30-AMI-HRRP,1.0358,13.3351,12.8739,13,0.4612,Above National
FRANKFORT REGIONAL MEDICAL CENTER,KY,READM-30-PN-HRRP,0.9446,14.5708,15.4247,30,-0.8539,At/Below National
FRANKFORT REGIONAL MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0948,21.3746,19.5246,40,1.85,Above National
FRANKFORT REGIONAL MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0776,18.8091,17.4546,17,1.3545,Above National
THREE RIVERS MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0179,17.9523,17.6358,12,0.3165,Above National
BAPTIST HEALTH LOUISVILLE,KY,READM-30-PN-HRRP,0.961,15.2204,15.8384,157,-0.618,At/Below National
BAPTIST HEALTH LOUISVILLE,KY,READM-30-HIP-KNEE-HRRP,1.2223,5.6886,4.6541,25,1.0345,Above National
BAPTIST HEALTH LOUISVILLE,KY,READM-30-HF-HRRP,0.8924,17.5286,19.6426,244,-2.114,At/Below National
BAPTIST HEALTH LOUISVILLE,KY,READM-30-COPD-HRRP,1.0649,19.8351,18.6254,67,1.2097,Above National
BAPTIST HEALTH LOUISVILLE,KY,READM-30-AMI-HRRP,0.8888,11.0441,12.4264,39,-1.3823,At/Below National
LAKE CUMBERLAND REGIONAL HOSPITAL,KY,READM-30-PN-HRRP,0.9623,15.5842,16.1939,49,-0.6097,At/Below National
LAKE CUMBERLAND REGIONAL HOSPITAL,KY,READM-30-HF-HRRP,1.0441,20.6272,19.7567,47,0.8705,Above National
LAKE CUMBERLAND REGIONAL HOSPITAL,KY,READM-30-COPD-HRRP,0.9862,19.6131,19.8879,26,-0.2748,At/Below National
LAKE CUMBERLAND REGIONAL HOSPITAL,KY,READM-30-AMI-HRRP,1.0851,13.2558,12.2162,32,1.0396,Above National
BAPTIST HEALTH LAGRANGE,KY,READM-30-HF-HRRP,0.9803,19.0562,19.4397,11,-0.3835,At/Below National
KENTUCKY RIVER MEDICAL CENTER,KY,READM-30-PN-HRRP,1.0631,18.2928,17.207,30,1.0858,Above National
KENTUCKY RIVER MEDICAL CENTER,KY,READM-30-HF-HRRP,1.0684,21.815,20.4175,15,1.3975,Above National
KENTUCKY RIVER MEDICAL CENTER,KY,READM-30-COPD-HRRP,1.0456,19.7243,18.8636,17,0.8607,Above National
UNIVERSITY OF LOUISVILLE HOSPITAL,KY,READM-30-PN-HRRP,0.9817,19.3682,19.7284,20,-0.3602,At/Below National
UNIVERSITY OF LOUISVILLE HOSPITAL,KY,READM-30-HF-HRRP,1.0496,22.7424,21.667,19,1.0754,Above National
UNIVERSITY OF LOUISVILLE HOSPITAL,KY,READM-30-COPD-HRRP,1.0468,21.5179,20.556,15,0.9619,Above National
SAINT JOSEPH EAST,KY,READM-30-PN-HRRP,1.0303,17.0702,16.5681,22,0.5021,Above National
SAINT JOSEPH EAST,KY,READM-30-HIP-KNEE-HRRP,1.3571,8.3106,6.1237,11,2.1869,Above National
SAINT JOSEPH EAST,KY,READM-30-HF-HRRP,0.9832,19.4166,19.7489,19,-0.3323,At/Below National
OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LA,READM-30-PN-HRRP,0.9446,14.936,15.8117,61,-0.8757,At/Below National
OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LA,READM-30-HIP-KNEE-HRRP,0.7253,3.0825,4.2499,12,-1.1674,At/Below National
OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LA,READM-30-HF-HRRP,0.9746,19.9431,20.4621,129,-0.519,At/Below National
OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LA,READM-30-COPD-HRRP,0.9496,16.7483,17.6364,22,-0.8881,At/Below National
OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LA,READM-30-CABG-HRRP,1.1277,11.8488,10.5073,29,1.3415,Above National
OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LA,READM-30-AMI-HRRP,1.0629,15.604,14.6807,40,0.9233,Above National
THIBODAUX REGIONAL MEDICAL CENTER,LA,READM-30-PN-HRRP,0.9537,14.7367,15.4518,25,-0.7151,At/Below National
THIBODAUX REGIONAL MEDICAL CENTER,LA,READM-30-HF-HRRP,1.0048,19.6232,19.5299,49,0.0933,Above National
THIBODAUX REGIONAL MEDICAL CENTER,LA,READM-30-COPD-HRRP,0.9478,18.96,20.0048,11,-1.0448,At/Below National
THIBODAUX REGIONAL MEDICAL CENTER,LA,READM-30-AMI-HRRP,0.9848,14.4115,14.6335,19,-0.222,At/Below National
UNIVERSITY MEDICAL CENTER NEW ORLEANS,LA,READM-30-HF-HRRP,0.9704,19.9177,20.5256,16,-0.6079,At/Below National
OCHSNER UNIVERSITY HOSPITAL AND CLINICS,LA,READM-30-PN-HRRP,1.0734,18.9361,17.6408,14,1.2953,Above National
OCHSNER UNIVERSITY HOSPITAL AND CLINICS,LA,READM-30-HF-HRRP,1.0396,22.1902,21.3447,17,0.8455,Above National
NATCHITOCHES REGIONAL MEDICAL CENTER,LA,READM-30-PN-HRRP,1.0188,16.9211,16.6096,17,0.3115,Above National
TERREBONNE GENERAL MEDICAL CENTER - PARISH,LA,READM-30-PN-HRRP,0.9354,16.1673,17.2841,37,-1.1168,At/Below National
TERREBONNE GENERAL MEDICAL CENTER - PARISH,LA,READM-30-HF-HRRP,0.9419,19.0429,20.2169,63,-1.174,At/Below National
TERREBONNE GENERAL MEDICAL CENTER - PARISH,LA,READM-30-AMI-HRRP,1.0285,13.7964,13.4146,15,0.3818,Above National
WEST CALCASIEU CAMERON HOSPITAL,LA,READM-30-HF-HRRP,1.0084,18.4872,18.3326,15,0.1546,Above National
WEST CALCASIEU CAMERON HOSPITAL,LA,READM-30-COPD-HRRP,0.9718,17.2106,17.7101,11,-0.4995,At/Below National
OCHSNER ST MARY,LA,READM-30-HF-HRRP,1.0429,18.3933,17.6366,13,0.7567,Above National
NORTH OAKS MEDICAL CENTER,LA,READM-30-PN-HRRP,1.0686,16.9299,15.8435,70,1.0864,Above National
NORTH OAKS MEDICAL CENTER,LA,READM-30-HF-HRRP,1.0768,21.3867,19.8611,106,1.5256,Above National
NORTH OAKS MEDICAL CENTER,LA,READM-30-COPD-HRRP,1.0736,19.8123,18.4536,25,1.3587,Above National
NORTH OAKS MEDICAL CENTER,LA,READM-30-AMI-HRRP,1.1429,16.1076,14.0931,25,2.0145,Above National
OPELOUSAS GENERAL HEALTH SYSTEM,LA,READM-30-PN-HRRP,1.055,18.6345,17.6637,49,0.9708,Above National
OPELOUSAS GENERAL HEALTH SYSTEM,LA,READM-30-HF-HRRP,0.9728,19.6025,20.1516,30,-0.5491,At/Below National
OPELOUSAS GENERAL HEALTH SYSTEM,LA,READM-30-COPD-HRRP,0.9339,18.1298,19.4132,13,-1.2834,At/Below National
CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,READM-30-PN-HRRP,0.9432,16.1611,17.135,71,-0.9739,At/Below National
CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,READM-30-HF-HRRP,1.0127,20.4264,20.1697,92,0.2567,Above National
CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,READM-30-COPD-HRRP,1.0533,20.1434,19.1242,25,1.0192,Above National
CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,READM-30-AMI-HRRP,1.0115,15.0368,14.8656,58,0.1712,Above National
LANE REGIONAL MEDICAL CENTER,LA,READM-30-PN-HRRP,1.045,15.994,15.3049,17,0.6891,Above National
LANE REGIONAL MEDICAL CENTER,LA,READM-30-HF-HRRP,1.0325,19.4201,18.8096,23,0.6105,Above National
SAVOY MEDICAL CENTER,LA,READM-30-PN-HRRP,1.0258,16.3313,15.9207,12,0.4106,Above National
RAPIDES REGIONAL MEDICAL CENTER,LA,READM-30-PN-HRRP,1.1165,18.5146,16.583,85,1.9316,Above National
RAPIDES REGIONAL MEDICAL CENTER,LA,READM-30-HF-HRRP,0.987,19.3822,19.6385,83,-0.2563,At/Below National
RAPIDES REGIONAL MEDICAL CENTER,LA,READM-30-COPD-HRRP,0.9699,16.3066,16.8134,13,-0.5068,At/Below National
RAPIDES REGIONAL MEDICAL CENTER,LA,READM-30-AMI-HRRP,1.0026,12.8513,12.8176,23,0.0337,Above National
CHRISTUS OCHSNER ST PATRICK HOSPITAL,LA,READM-30-PN-HRRP,0.9803,17.6646,18.0199,29,-0.3553,At/Below National
CHRISTUS OCHSNER ST PATRICK HOSPITAL,LA,READM-30-HF-HRRP,0.9179,18.2234,19.8527,66,-1.6293,At/Below National
CHRISTUS OCHSNER ST PATRICK HOSPITAL,LA,READM-30-COPD-HRRP,1.0584,19.0138,17.9651,17,1.0487,Above National
CHRISTUS OCHSNER ST PATRICK HOSPITAL,LA,READM-30-AMI-HRRP,1.0889,14.1318,12.9784,24,1.1534,Above National
ABBEVILLE GENERAL HOSPITAL,LA,READM-30-HF-HRRP,0.9793,19.1568,19.5616,15,-0.4048,At/Below National
OCHSNER MEDICAL CENTER ACUTE,LA,READM-30-PN-HRRP,1.0354,16.7942,16.2207,64,0.5735,Above National
OCHSNER MEDICAL CENTER ACUTE,LA,READM-30-HF-HRRP,0.9582,19.0538,19.885,134,-0.8312,At/Below National
OCHSNER MEDICAL CENTER ACUTE,LA,READM-30-COPD-HRRP,1.0214,20.6848,20.2516,21,0.4332,Above National
OCHSNER MEDICAL CENTER ACUTE,LA,READM-30-AMI-HRRP,0.9549,14.0119,14.6732,29,-0.6613,At/Below National
WEST JEFFERSON MEDICAL CENTER,LA,READM-30-PN-HRRP,1.0028,16.8568,16.8104,13,0.0464,Above National
WEST JEFFERSON MEDICAL CENTER,LA,READM-30-HF-HRRP,1.0674,20.895,19.5764,56,1.3186,Above National
SLIDELL MEMORIAL HOSPITAL,LA,READM-30-PN-HRRP,1.032,18.1803,17.6174,36,0.5629,Above National
SLIDELL MEMORIAL HOSPITAL,LA,READM-30-HF-HRRP,1.0829,22.2694,20.5637,75,1.7057,Above National
SLIDELL MEMORIAL HOSPITAL,LA,READM-30-COPD-HRRP,1.0408,20.3962,19.5965,17,0.7997,Above National
